title,artist,spotify_id,spotify_name,spotify_popularity,spotify_preview_url,spotify_external_url,spotify_duration_ms,spotify_explicit,spotify_album_name,spotify_album_release_date,spotify_album_type,spotify_artist_id,spotify_artist_name
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Shape of You,88,,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,233712,False,÷ (Deluxe),2017-03-03,album,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,89,,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,200040,False,After Hours,2020-03-20,album,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,83,,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,174000,False,Fine Line,2019-12-13,album,6KImCVD70vtIoJWnq6nGn3,Harry Styles
Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),82,,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,203064,False,Future Nostalgia,2020-03-27,album,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
Good 4 U,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,good 4 u,82,,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,178146,True,SOUR,2021-05-21,album,1McMsnEElThX1knmY4oliG,Olivia Rodrigo
Stay,The Kid LAROI,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),80,,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,141805,True,F*CK LOVE 3+: OVER YOU,2021-07-27,album,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
Industry Baby,Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),74,,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,212352,True,MONTERO,2021-09-17,album,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,85,,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,238805,False,Dreamland,2020-08-07,album,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,82,,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,230746,False,=,2021-10-25,album,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
Peaches,Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),80,,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,198081,True,Justice,2021-03-19,album,1uNFoZAHBGtllmzznpCI3s,Justin Bieber
Bohemian Rhapsody,Queen,7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,75,,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,354320,False,A Night At The Opera (Deluxe Remastered Version),1975-11-21,album,1dfeR4HaWDbWqFHLkxsg1d,Queen
Hotel California,Eagles,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,84,,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,391376,False,Hotel California (2013 Remaster),1976-12-08,album,0ECwFtbIWEVNwjlrfc6xoL,Eagles
