Key Detection Comparison Results
===================================

Total files compared: 336
Exact matches: 123 (36.6%)
Enharmonic matches: 23 (6.8%)
Different keys: 190 (56.5%)
Total agreement: 146 (43.5%)

Files with different key detections:
--------------------------------------------------------------------------------
1215364_riding-with-nosferatu_preview_15s.mp3: Librosa=G# minor, Madmom=A minor
1215428_parting-ways_preview_15s.mp3: Librosa=G major, Madmom=B minor
1216038_good-times-again_preview_15s.mp3: Librosa=D major, Madmom=C major
1216294_sweet-rain_preview_15s.mp3: Librosa=B minor, Madmom=G major
1216339_as-flowers_preview_15s.mp3: Librosa=A minor, Madmom=D minor
1216375_passing-time_preview_15s.mp3: Librosa=E minor, Madmom=D major
1216462_writing-letters_preview_15s.mp3: Librosa=E minor, Madmom=C major
1216473_quiet-nights_preview_15s.mp3: Librosa=E minor, Madmom=G major
1217552_i-keep-dreaming_preview_15s.mp3: Librosa=A major, Madmom=D major
1218087_old-fashioned-days_preview_15s.mp3: Librosa=G major, Madmom=D minor
1218284_glowing-stream_preview_15s.mp3: Librosa=E major, Madmom=D major
1219070_keep-going-charlie_preview_15s.mp3: Librosa=G major, Madmom=C major
1219130_rimsky-korsakov--flight-of-the-bumblebee_preview_15s.mp3: Librosa=C# minor, Madmom=D minor
1219147_through-the-morning-fog_preview_15s.mp3: Librosa=G major, Madmom=C major
1219217_golden-grass_preview_15s.mp3: Librosa=G major, Madmom=C minor
1219586_forbidden-place_preview_15s.mp3: Librosa=G# minor, Madmom=F# major
1219841_kinesthetic-dreams_preview_15s.mp3: Librosa=C major, Madmom=F major
1219934_blossoming_preview_15s.mp3: Librosa=C major, Madmom=C minor
1220386_nova_preview_15s.mp3: Librosa=D minor, Madmom=Bb minor
1220593_evolving-images_preview_15s.mp3: Librosa=A# major, Madmom=Eb major
1220765_les-antique_preview_15s.mp3: Librosa=A minor, Madmom=C major
1220866_on-pictures_preview_15s.mp3: Librosa=D minor, Madmom=G minor
1221065_say-yes_preview_15s.mp3: Librosa=G major, Madmom=C major
1221247_quiet-winter-piano_preview_15s.mp3: Librosa=A minor, Madmom=D major
1221515_clouds-in-the-sky_preview_15s.mp3: Librosa=E minor, Madmom=G major
1221739_butterfly-ride_preview_15s.mp3: Librosa=G major, Madmom=C major
1221972_motives_preview_15s.mp3: Librosa=F major, Madmom=F minor
1222137_for-you_preview_15s.mp3: Librosa=A minor, Madmom=G major
1222166_it's-raining-again_preview_15s.mp3: Librosa=B minor, Madmom=G major
1222183_relentless_preview_15s.mp3: Librosa=B major, Madmom=E major
1222349_embrace_preview_15s.mp3: Librosa=A major, Madmom=D major
1222386_whispers-on-a-train_preview_15s.mp3: Librosa=C major, Madmom=C minor
1222732_meant-to-happen_preview_15s.mp3: Librosa=F# minor, Madmom=D major
1222829_pretty-baby_preview_15s.mp3: Librosa=F minor, Madmom=Eb major
1222973_find-solace_preview_15s.mp3: Librosa=A# minor, Madmom=F# major
1223298_a-promise-in-late-autumn_preview_15s.mp3: Librosa=A major, Madmom=D major
1223640_photograph_preview_15s.mp3: Librosa=C major, Madmom=F major
1223645_portraits-forever-(piano)_preview_15s.mp3: Librosa=G minor, Madmom=Bb major
1223702_the-first-noel-(piano-&-violin)_preview_15s.mp3: Librosa=D# minor, Madmom=Eb major
1223815_night-gazing_preview_15s.mp3: Librosa=G# minor, Madmom=B major
1223897_silent-night_preview_15s.mp3: Librosa=E minor, Madmom=C major
1224341_one-way-train_preview_15s.mp3: Librosa=B minor, Madmom=A minor
1224691_rise-above-and-stand-tall_preview_15s.mp3: Librosa=G# minor, Madmom=F minor
1224725_windy-road_preview_15s.mp3: Librosa=E major, Madmom=A major
1225275_inside-story_preview_15s.mp3: Librosa=D major, Madmom=B minor
1226086_happy-bean-tree_preview_15s.mp3: Librosa=C# minor, Madmom=A major
1226122_sailing-at-midnight_preview_15s.mp3: Librosa=D major, Madmom=F# minor
1226201_sunset-walk_preview_15s.mp3: Librosa=G minor, Madmom=Bb major
1226462_reaching-out_preview_15s.mp3: Librosa=C major, Madmom=F major
1226507_sad-but-once-again_preview_15s.mp3: Librosa=A major, Madmom=D major
1226941_bright-piano-logo_preview_15s.mp3: Librosa=B minor, Madmom=D major
1227024_rare-spirits_preview_15s.mp3: Librosa=A major, Madmom=A minor
1227347_sorrow-and-hope_preview_15s.mp3: Librosa=D minor, Madmom=F major
1228170_far-away-from-home_preview_15s.mp3: Librosa=E minor, Madmom=C minor
1228206_into-the-unknown_preview_15s.mp3: Librosa=E minor, Madmom=A minor
1228359_open-door_preview_15s.mp3: Librosa=E major, Madmom=A minor
1228451_never-far-away_preview_15s.mp3: Librosa=E minor, Madmom=G major
1228846_driftfields_preview_15s.mp3: Librosa=A minor, Madmom=G minor
1228915_open-hearted_preview_15s.mp3: Librosa=F# major, Madmom=B minor
1228983_panorama-skies_preview_15s.mp3: Librosa=D# major, Madmom=C minor
1229226_sleep-tight-goodnight_preview_15s.mp3: Librosa=A# major, Madmom=G minor
1229253_open-minds_preview_15s.mp3: Librosa=C major, Madmom=E minor
1229336_modern-bright-piano-logo_preview_15s.mp3: Librosa=E major, Madmom=A major
1231801_crowning-glory_preview_15s.mp3: Librosa=A minor, Madmom=F major
1233077_water-falls_preview_15s.mp3: Librosa=G major, Madmom=C major
1234809_just-a-last-hope_preview_15s.mp3: Librosa=F# minor, Madmom=E minor
1234868_a-ghost-of-a-smile_preview_15s.mp3: Librosa=C major, Madmom=F major
1235015_dream-forgetter_preview_15s.mp3: Librosa=A# major, Madmom=D minor
1236179_berliner-apartment_preview_15s.mp3: Librosa=G minor, Madmom=Eb major
1236180_gymnopédie-no.1-by-satie_preview_15s.mp3: Librosa=D major, Madmom=B minor
1236227_trabant_preview_15s.mp3: Librosa=E minor, Madmom=C major
1236663_theoretically_preview_15s.mp3: Librosa=B major, Madmom=E major
1236781_where-will-we-be_preview_15s.mp3: Librosa=D major, Madmom=G major
1237693_pueblo-solitario_preview_15s.mp3: Librosa=A# major, Madmom=C minor
1237724_delicate-piano_preview_15s.mp3: Librosa=E minor, Madmom=C major
1238565_walking-the-streets_preview_15s.mp3: Librosa=G# minor, Madmom=E major
1239198_navigating-science_preview_15s.mp3: Librosa=D major, Madmom=G minor
1243288_photo-albums_preview_15s.mp3: Librosa=E major, Madmom=G# minor
1245021_guile-and-subterfuge_preview_15s.mp3: Librosa=B major, Madmom=E minor
1249657_gnossienne-1---eric-satie_preview_15s.mp3: Librosa=C minor, Madmom=F minor
1249663_romantic-piano-lover_preview_15s.mp3: Librosa=B major, Madmom=E minor
1249831_pacific-heights_preview_15s.mp3: Librosa=G major, Madmom=C minor
1250019_empty-eyes_preview_15s.mp3: Librosa=G major, Madmom=C major
1250286_sacred-vows_preview_15s.mp3: Librosa=A# minor, Madmom=F# major
1250331_the-sound-of-your-life_preview_15s.mp3: Librosa=G minor, Madmom=Eb major
1250350_healing_preview_15s.mp3: Librosa=D minor, Madmom=F major
1250462_relief_preview_15s.mp3: Librosa=E minor, Madmom=C major
1250504_one-step-further_preview_15s.mp3: Librosa=G# major, Madmom=Db major
1250584_reflective-lament_preview_15s.mp3: Librosa=G# major, Madmom=F minor
1250605_alone-in-paris_preview_15s.mp3: Librosa=G major, Madmom=C minor
1250611_distant-memories_preview_15s.mp3: Librosa=E major, Madmom=A minor
1250613_reflections-in-the-glass_preview_15s.mp3: Librosa=C minor, Madmom=Eb major
1250624_echoes-from-the-past_preview_15s.mp3: Librosa=C minor, Madmom=C major
1250653_past-regrets_preview_15s.mp3: Librosa=C minor, Madmom=F minor
1250671_memories-of-a-life-once-lived_preview_15s.mp3: Librosa=A major, Madmom=A minor
1250683_the-sun-rises_preview_15s.mp3: Librosa=C major, Madmom=F minor
1250684_in-another-lifetime_preview_15s.mp3: Librosa=A minor, Madmom=D minor
1250689_winter-memories_preview_15s.mp3: Librosa=C minor, Madmom=Ab major
1250691_drifting-through-time_preview_15s.mp3: Librosa=D minor, Madmom=G minor
1250711_glimpse-of-the-darkness_preview_15s.mp3: Librosa=G minor, Madmom=C minor
1250712_departed-forever_preview_15s.mp3: Librosa=A minor, Madmom=C major
1250911_romantic-piano-logo_preview_15s.mp3: Librosa=C# minor, Madmom=A major
1250961_blue's-nocturne_preview_15s.mp3: Librosa=D minor, Madmom=G minor
1250991_jazz-piano-ballade_preview_15s.mp3: Librosa=G major, Madmom=C major
1251165_bach---air-on-a-g-string-(classical-guitar-duo)_preview_15s.mp3: Librosa=F# minor, Madmom=D major
1251219_café-belagio_preview_15s.mp3: Librosa=E minor, Madmom=C major
1251262_epilogue_preview_15s.mp3: Librosa=E major, Madmom=A minor
1251305_passion,-love-and-grace_preview_15s.mp3: Librosa=C# minor, Madmom=A minor
1251324_word-of-wisdom_preview_15s.mp3: Librosa=F major, Madmom=C major
